,rank,artist,song,rank_last_week,peak_rank,weeks_on_chart,date,week
0,1,Mariah Carey,All I Want For Christmas Is You,1,1,37,2020-01-04,1
1,2,Brenda Lee,Rockin' Around The Christmas Tree,2,2,32,2020-01-04,1
2,3,Bobby Helms,Jingle Bell Rock,9,3,30,2020-01-04,1
3,4,Burl Ives,A Holly Jolly Christmas,6,4,15,2020-01-04,1
4,5,Post Malone,Circles,3,1,17,2020-01-04,1
5,6,Arizona Zervas,Roxanne,4,4,8,2020-01-04,1
6,7,Andy Williams,It's The Most Wonderful Time Of The Year,15,7,15,2020-01-04,1
7,8,Lewis Capaldi,Someone You Loved,8,1,33,2020-01-04,1
8,9,Maroon 5,Memories,7,4,14,2020-01-04,1
9,10,Lizzo,Good As Hell,10,3,18,2020-01-04,1
10,11,Wham!,Last Christmas,17,11,14,2020-01-04,1
11,12,Jose Feliciano,Feliz Navidad,23,12,9,2020-01-04,1
12,13,Roddy Ricch,The Box,18,13,3,2020-01-04,1
13,14,Tones And I,Dance Monkey,11,9,12,2020-01-04,1
"14,15,Dean Martin,""Let It Snow, Let It Snow, Let It Snow"",28,15,8,2020-01-04,1"
15,16,Nat King Cole,The Christmas Song (Merry Christmas To You),30,11,21,2020-01-04,1
"16,17,Dan + Shay & Justin Bieber,""10,000 Hours"",13,4,12,2020-01-04,1"
17,18,Selena Gomez,Lose You To Love Me,12,1,10,2020-01-04,1
18,19,Mustard & Roddy Ricch,Ballin',14,14,23,2020-01-04,1
19,20,DaBaby,BOP,16,11,13,2020-01-04,1
20,21,The Ronettes,Sleigh Ride,37,21,7,2020-01-04,1
21,22,Gene Autry,Rudolph The Red-Nosed Reindeer,36,16,8,2020-01-04,1
22,23,Billie Eilish,Bad Guy,25,1,39,2020-01-04,1
23,24,Andy Williams,Happy Holiday / The Holiday Season,40,24,4,2020-01-04,1
24,25,Chris Brown Featuring Drake,No Guidance,20,5,29,2020-01-04,1
25,26,Shawn Mendes & Camila Cabello,Senorita,21,1,27,2020-01-04,1
26,27,Juice WRLD & YoungBoy Never Broke Again,Bandit,19,10,12,2020-01-04,1
27,28,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,It's Beginning To Look A Lot Like Christmas,50,28,4,2020-01-04,1
28,29,Darlene Love,Christmas (Baby Please Come Home),0,29,3,2020-01-04,1
29,30,Lil Nas X,Panini,29,5,27,2020-01-04,1
30,31,Kelly Clarkson,Underneath The Tree,0,31,5,2020-01-04,1
31,32,Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane),47,28,6,2020-01-04,1
32,33,Young Thug Featuring Gunna,Hot,31,11,19,2020-01-04,1
33,34,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,41,1,43,2020-01-04,1
34,35,Lizzo,Truth Hurts,32,1,34,2020-01-04,1
35,36,Chuck Berry,Run Rudolph Run,0,36,5,2020-01-04,1
36,37,Perry Como,(There's No Place Like) Home For The Holidays,0,32,3,2020-01-04,1
37,38,Travis Scott,HIGHEST IN THE ROOM,27,1,12,2020-01-04,1
38,39,The Weeknd,Heartless,26,1,5,2020-01-04,1
39,40,Elvis Presley,Blue Christmas,0,40,2,2020-01-04,1
40,41,Billie Eilish,Everything I Wanted,34,8,7,2020-01-04,1
41,42,Bing Crosby,White Christmas,0,12,16,2020-01-04,1
42,43,Frank Sinatra,Jingle Bells,0,43,2,2020-01-04,1
43,44,Jonas Brothers,Like It's Christmas,53,44,4,2020-01-04,1
44,45,Dean Martin,Baby It's Cold Outside,0,45,1,2020-01-04,1
45,46,SHAED,Trampoline,33,13,30,2020-01-04,1
46,47,Lil Baby,Woah,35,16,7,2020-01-04,1
47,48,Lil Uzi Vert,Futsal Shuffle 2020,5,5,2,2020-01-04,1
"48,49,Thurl Ravenscroft,""You're A Mean One, Mr. Grinch"",0,49,1,2020-01-04,1"
49,50,Lil Tecca,Ran$om,39,4,30,2020-01-04,1
50,51,Trevor Daniel,Falling,38,36,6,2020-01-04,1
51,52,Dua Lipa,Don't Start Now,42,30,8,2020-01-04,1
52,53,Harry Styles,Adore You,24,24,3,2020-01-04,1
53,54,Old Dominion,One Man Band,44,20,18,2020-01-04,1
54,55,blackbear,Hot Girl Bummer,51,41,15,2020-01-04,1
55,56,YNW Melly & Juice WRLD,Suicidal,58,56,5,2020-01-04,1
56,57,Taylor Swift,Lover,48,10,19,2020-01-04,1
57,58,Wale Featuring Jeremih,On Chill,46,22,20,2020-01-04,1
58,59,Luke Combs,Even Though I'm Leaving,49,11,17,2020-01-04,1
59,60,Don Toliver,No Idea,43,43,4,2020-01-04,1
60,61,Halsey,Graveyard,52,34,15,2020-01-04,1
61,62,Camila Cabello Featuring DaBaby,My Oh My,61,61,3,2020-01-04,1
62,63,Doja Cat & Tyga,Juicy,57,47,9,2020-01-04,1
63,64,Maren Morris,The Bones,55,48,14,2020-01-04,1
64,65,Summer Walker,Playing Games,56,16,17,2020-01-04,1
65,66,Chris Brown Featuring Gunna,Heat,59,36,17,2020-01-04,1
66,67,Idina Menzel & AURORA,Into The Unknown,65,46,5,2020-01-04,1
67,68,DaBaby,VIBEZ,60,21,13,2020-01-04,1
68,69,John Legend,Happy Xmas (War Is Over),0,69,1,2020-01-04,1
69,70,Rod Wave,Heart On Ice,70,54,7,2020-01-04,1
70,71,Lady Antebellum,What If I Never Get Over You,68,47,18,2020-01-04,1
71,72,The Weeknd,Blinding Lights,63,11,4,2020-01-04,1
72,73,Dustin Lynch,Ridin' Roads,66,66,8,2020-01-04,1
73,74,NLE Choppa,Camelot,71,37,15,2020-01-04,1
74,75,Jon Pardi,Heartache Medication,72,67,13,2020-01-04,1
75,76,Roddy Ricch & Gunna,Start Wit Me,69,58,6,2020-01-04,1
76,77,Post Malone Featuring Ozzy Osbourne & Travis Scott,Take What You Want,76,8,16,2020-01-04,1
"77,78,""Layton Greene, Lil Baby, City Girls & PnB Rock"",Leave Em Alone,77,60,12,2020-01-04,1"
78,79,Ellie Goulding & Juice WRLD,Hate Me,75,56,20,2020-01-04,1
79,80,Sam Hunt,Kinfolks,81,62,11,2020-01-04,1
80,81,Juice WRLD,Let Me Know (I Wonder Why Freestyle),78,78,2,2020-01-04,1
81,82,Thomas Rhett,Remember You Young,73,53,15,2020-01-04,1
82,83,Trippie Redd Featuring DaBaby,Death,74,59,6,2020-01-04,1
83,84,YNW Melly & 9lokknine,223's,91,34,16,2020-01-04,1
84,85,H.E.R. Featuring YG,Slide,0,85,1,2020-01-04,1
85,86,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),89,86,5,2020-01-04,1
86,87,Harry Styles,Watermelon Sugar,54,54,5,2020-01-04,1
87,88,Kane Brown,Homesick,96,88,6,2020-01-04,1
88,89,Joji,Slow Dancing In The Dark,88,69,12,2020-01-04,1
89,90,DaniLeigh Featuring Chris Brown,Easy,97,88,8,2020-01-04,1
90,91,Bad Bunny,Vete,85,33,5,2020-01-04,1
91,92,DaBaby Featuring Offset,Baby Sitter,93,59,20,2020-01-04,1
92,93,Niall Horan,Nice To Meet Ya,82,63,11,2020-01-04,1
93,94,Ant Saunders,Yellow Hearts,95,81,7,2020-01-04,1
94,95,Roddy Ricch Featuring A Boogie Wit da Hoodie,Tip Toe,80,73,4,2020-01-04,1
95,96,Doja Cat,Candy,94,86,5,2020-01-04,1
96,97,Russ & BIA,BEST ON EARTH,92,92,3,2020-01-04,1
97,98,Karol G & Nicki Minaj,Tusa,0,78,4,2020-01-04,1
98,99,Post Malone Featuring DaBaby,Enemies,98,16,16,2020-01-04,1
99,100,Ed Sheeran Featuring Camila Cabello & Cardi B,South Of The Border,0,53,3,2020-01-04,1
100,1,Mariah Carey,All I Want For Christmas Is You,1,1,37,2020-01-11,2
101,2,Brenda Lee,Rockin' Around The Christmas Tree,2,2,32,2020-01-11,2
102,3,Bobby Helms,Jingle Bell Rock,9,3,30,2020-01-11,2
103,4,Burl Ives,A Holly Jolly Christmas,6,4,15,2020-01-11,2
104,5,Post Malone,Circles,3,1,17,2020-01-11,2
105,6,Arizona Zervas,Roxanne,4,4,8,2020-01-11,2
106,7,Andy Williams,It's The Most Wonderful Time Of The Year,15,7,15,2020-01-11,2
107,8,Lewis Capaldi,Someone You Loved,8,1,33,2020-01-11,2
108,9,Maroon 5,Memories,7,4,14,2020-01-11,2
109,10,Lizzo,Good As Hell,10,3,18,2020-01-11,2
110,11,Wham!,Last Christmas,17,11,14,2020-01-11,2
111,12,Jose Feliciano,Feliz Navidad,23,12,9,2020-01-11,2
112,13,Roddy Ricch,The Box,18,13,3,2020-01-11,2
113,14,Tones And I,Dance Monkey,11,9,12,2020-01-11,2
"114,15,Dean Martin,""Let It Snow, Let It Snow, Let It Snow"",28,15,8,2020-01-11,2"
115,16,Nat King Cole,The Christmas Song (Merry Christmas To You),30,11,21,2020-01-11,2
"116,17,Dan + Shay & Justin Bieber,""10,000 Hours"",13,4,12,2020-01-11,2"
117,18,Selena Gomez,Lose You To Love Me,12,1,10,2020-01-11,2
118,19,Mustard & Roddy Ricch,Ballin',14,14,23,2020-01-11,2
119,20,DaBaby,BOP,16,11,13,2020-01-11,2
120,21,The Ronettes,Sleigh Ride,37,21,7,2020-01-11,2
121,22,Gene Autry,Rudolph The Red-Nosed Reindeer,36,16,8,2020-01-11,2
122,23,Billie Eilish,Bad Guy,25,1,39,2020-01-11,2
123,24,Andy Williams,Happy Holiday / The Holiday Season,40,24,4,2020-01-11,2
124,25,Chris Brown Featuring Drake,No Guidance,20,5,29,2020-01-11,2
125,26,Shawn Mendes & Camila Cabello,Senorita,21,1,27,2020-01-11,2
126,27,Juice WRLD & YoungBoy Never Broke Again,Bandit,19,10,12,2020-01-11,2
127,28,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,It's Beginning To Look A Lot Like Christmas,50,28,4,2020-01-11,2
128,29,Darlene Love,Christmas (Baby Please Come Home),0,29,3,2020-01-11,2
129,30,Lil Nas X,Panini,29,5,27,2020-01-11,2
130,31,Kelly Clarkson,Underneath The Tree,0,31,5,2020-01-11,2
131,32,Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane),47,28,6,2020-01-11,2
132,33,Young Thug Featuring Gunna,Hot,31,11,19,2020-01-11,2
133,34,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,41,1,43,2020-01-11,2
134,35,Lizzo,Truth Hurts,32,1,34,2020-01-11,2
135,36,Chuck Berry,Run Rudolph Run,0,36,5,2020-01-11,2
136,37,Perry Como,(There's No Place Like) Home For The Holidays,0,32,3,2020-01-11,2
137,38,Travis Scott,HIGHEST IN THE ROOM,27,1,12,2020-01-11,2
138,39,The Weeknd,Heartless,26,1,5,2020-01-11,2
139,40,Elvis Presley,Blue Christmas,0,40,2,2020-01-11,2
140,41,Billie Eilish,Everything I Wanted,34,8,7,2020-01-11,2
141,42,Bing Crosby,White Christmas,0,12,16,2020-01-11,2
142,43,Frank Sinatra,Jingle Bells,0,43,2,2020-01-11,2
143,44,Jonas Brothers,Like It's Christmas,53,44,4,2020-01-11,2
144,45,Dean Martin,Baby It's Cold Outside,0,45,1,2020-01-11,2
145,46,SHAED,Trampoline,33,13,30,2020-01-11,2
146,47,Lil Baby,Woah,35,16,7,2020-01-11,2
147,48,Lil Uzi Vert,Futsal Shuffle 2020,5,5,2,2020-01-11,2
"148,49,Thurl Ravenscroft,""You're A Mean One, Mr. Grinch"",0,49,1,2020-01-11,2"
149,50,Lil Tecca,Ran$om,39,4,30,2020-01-11,2
150,51,Trevor Daniel,Falling,38,36,6,2020-01-11,2
151,52,Dua Lipa,Don't Start Now,42,30,8,2020-01-11,2
152,53,Harry Styles,Adore You,24,24,3,2020-01-11,2
153,54,Old Dominion,One Man Band,44,20,18,2020-01-11,2
154,55,blackbear,Hot Girl Bummer,51,41,15,2020-01-11,2
155,56,YNW Melly & Juice WRLD,Suicidal,58,56,5,2020-01-11,2
156,57,Taylor Swift,Lover,48,10,19,2020-01-11,2
157,58,Wale Featuring Jeremih,On Chill,46,22,20,2020-01-11,2
158,59,Luke Combs,Even Though I'm Leaving,49,11,17,2020-01-11,2
159,60,Don Toliver,No Idea,43,43,4,2020-01-11,2
160,61,Halsey,Graveyard,52,34,15,2020-01-11,2
161,62,Camila Cabello Featuring DaBaby,My Oh My,61,61,3,2020-01-11,2
162,63,Doja Cat & Tyga,Juicy,57,47,9,2020-01-11,2
163,64,Maren Morris,The Bones,55,48,14,2020-01-11,2
164,65,Summer Walker,Playing Games,56,16,17,2020-01-11,2
165,66,Chris Brown Featuring Gunna,Heat,59,36,17,2020-01-11,2
166,67,Idina Menzel & AURORA,Into The Unknown,65,46,5,2020-01-11,2
167,68,DaBaby,VIBEZ,60,21,13,2020-01-11,2
168,69,John Legend,Happy Xmas (War Is Over),0,69,1,2020-01-11,2
169,70,Rod Wave,Heart On Ice,70,54,7,2020-01-11,2
170,71,Lady Antebellum,What If I Never Get Over You,68,47,18,2020-01-11,2
171,72,The Weeknd,Blinding Lights,63,11,4,2020-01-11,2
172,73,Dustin Lynch,Ridin' Roads,66,66,8,2020-01-11,2
173,74,NLE Choppa,Camelot,71,37,15,2020-01-11,2
174,75,Jon Pardi,Heartache Medication,72,67,13,2020-01-11,2
175,76,Roddy Ricch & Gunna,Start Wit Me,69,58,6,2020-01-11,2
176,77,Post Malone Featuring Ozzy Osbourne & Travis Scott,Take What You Want,76,8,16,2020-01-11,2
"177,78,""Layton Greene, Lil Baby, City Girls & PnB Rock"",Leave Em Alone,77,60,12,2020-01-11,2"
178,79,Ellie Goulding & Juice WRLD,Hate Me,75,56,20,2020-01-11,2
179,80,Sam Hunt,Kinfolks,81,62,11,2020-01-11,2
180,81,Juice WRLD,Let Me Know (I Wonder Why Freestyle),78,78,2,2020-01-11,2
181,82,Thomas Rhett,Remember You Young,73,53,15,2020-01-11,2
182,83,Trippie Redd Featuring DaBaby,Death,74,59,6,2020-01-11,2
183,84,YNW Melly & 9lokknine,223's,91,34,16,2020-01-11,2
184,85,H.E.R. Featuring YG,Slide,0,85,1,2020-01-11,2
185,86,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),89,86,5,2020-01-11,2
186,87,Harry Styles,Watermelon Sugar,54,54,5,2020-01-11,2
187,88,Kane Brown,Homesick,96,88,6,2020-01-11,2
188,89,Joji,Slow Dancing In The Dark,88,69,12,2020-01-11,2
189,90,DaniLeigh Featuring Chris Brown,Easy,97,88,8,2020-01-11,2
190,91,Bad Bunny,Vete,85,33,5,2020-01-11,2
191,92,DaBaby Featuring Offset,Baby Sitter,93,59,20,2020-01-11,2
192,93,Niall Horan,Nice To Meet Ya,82,63,11,2020-01-11,2
193,94,Ant Saunders,Yellow Hearts,95,81,7,2020-01-11,2
194,95,Roddy Ricch Featuring A Boogie Wit da Hoodie,Tip Toe,80,73,4,2020-01-11,2
195,96,Doja Cat,Candy,94,86,5,2020-01-11,2
196,97,Russ & BIA,BEST ON EARTH,92,92,3,2020-01-11,2
197,98,Karol G & Nicki Minaj,Tusa,0,78,4,2020-01-11,2
198,99,Post Malone Featuring DaBaby,Enemies,98,16,16,2020-01-11,2
199,100,Ed Sheeran Featuring Camila Cabello & Cardi B,South Of The Border,0,53,3,2020-01-11,2
200,1,Post Malone,Circles,5,1,18,2020-01-18,3
201,2,Maroon 5,Memories,9,2,15,2020-01-18,3
202,3,Roddy Ricch,The Box,13,3,4,2020-01-18,3
203,4,Lewis Capaldi,Someone You Loved,8,1,34,2020-01-18,3
204,5,Arizona Zervas,Roxanne,6,4,9,2020-01-18,3
205,6,Lizzo,Good As Hell,10,3,19,2020-01-18,3
206,7,Tones And I,Dance Monkey,14,7,13,2020-01-18,3
207,8,Travis Scott,HIGHEST IN THE ROOM,38,1,13,2020-01-18,3
"208,9,Dan + Shay & Justin Bieber,""10,000 Hours"",17,4,13,2020-01-18,3"
209,10,Selena Gomez,Lose You To Love Me,18,1,11,2020-01-18,3
210,11,Shawn Mendes & Camila Cabello,Senorita,26,1,28,2020-01-18,3
211,12,Mustard & Roddy Ricch,Ballin',19,12,24,2020-01-18,3
212,13,DaBaby,BOP,20,11,14,2020-01-18,3
213,14,Billie Eilish,Bad Guy,23,1,40,2020-01-18,3
214,15,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,34,1,44,2020-01-18,3
215,16,Chris Brown Featuring Drake,No Guidance,25,5,30,2020-01-18,3
216,17,Lil Nas X,Panini,30,5,28,2020-01-18,3
217,18,Lizzo,Truth Hurts,35,1,35,2020-01-18,3
218,19,SHAED,Trampoline,46,13,31,2020-01-18,3
219,20,The Weeknd,Heartless,39,1,6,2020-01-18,3
220,21,Dua Lipa,Don't Start Now,52,21,9,2020-01-18,3
221,22,Juice WRLD & YoungBoy Never Broke Again,Bandit,27,10,13,2020-01-18,3
222,23,Billie Eilish,Everything I Wanted,41,8,8,2020-01-18,3
223,24,Young Thug Featuring Gunna,Hot,33,11,20,2020-01-18,3
224,25,Jonas Brothers,Only Human,0,18,28,2020-01-18,3
225,26,Old Dominion,One Man Band,54,20,19,2020-01-18,3
226,27,Lil Baby,Woah,47,16,8,2020-01-18,3
227,28,Ed Sheeran & Justin Bieber,I Don't Care,0,2,31,2020-01-18,3
228,29,Jonas Brothers,Sucker,0,1,39,2020-01-18,3
229,30,Luke Combs,Even Though I'm Leaving,59,11,18,2020-01-18,3
230,31,Trevor Daniel,Falling,51,31,7,2020-01-18,3
231,32,blackbear,Hot Girl Bummer,55,32,16,2020-01-18,3
232,33,Lil Tecca,Ran$om,50,4,31,2020-01-18,3
233,34,Taylor Swift,Lover,57,10,20,2020-01-18,3
234,35,Harry Styles,Adore You,53,24,4,2020-01-18,3
235,36,Maren Morris,The Bones,64,36,15,2020-01-18,3
236,37,Halsey,Graveyard,61,34,16,2020-01-18,3
237,38,JACKBOYS Featuring Young Thug,Out West,0,38,1,2020-01-18,3
238,39,Wale Featuring Jeremih,On Chill,58,22,21,2020-01-18,3
239,40,Khalid,Talk,0,3,44,2020-01-18,3
240,41,YNW Melly & Juice WRLD,Suicidal,56,41,6,2020-01-18,3
241,42,Ed Sheeran Featuring Khalid,Beautiful People,0,13,25,2020-01-18,3
242,43,DaBaby,Suge,0,7,36,2020-01-18,3
243,44,Lil Uzi Vert,Futsal Shuffle 2020,48,5,3,2020-01-18,3
244,45,Doja Cat & Tyga,Juicy,63,45,10,2020-01-18,3
245,46,Don Toliver,No Idea,60,43,5,2020-01-18,3
246,47,Lil Baby & DaBaby,Baby,0,21,21,2020-01-18,3
247,48,JACKBOYS & Sheck Wes,GANG GANG,0,48,1,2020-01-18,3
248,49,Lady Antebellum,What If I Never Get Over You,71,47,19,2020-01-18,3
249,50,Camila Cabello Featuring DaBaby,My Oh My,62,50,4,2020-01-18,3
250,51,Dustin Lynch,Ridin' Roads,73,51,9,2020-01-18,3
251,52,Don Toliver Featuring Quavo & Offset,HAD ENOUGH,0,52,1,2020-01-18,3
252,53,Chris Brown Featuring Gunna,Heat,66,36,18,2020-01-18,3
253,54,Summer Walker,Playing Games,65,16,18,2020-01-18,3
254,55,Idina Menzel & AURORA,Into The Unknown,67,46,6,2020-01-18,3
255,56,JACKBOYS Featuring Don Toliver,WHAT TO DO?,0,56,1,2020-01-18,3
256,57,DaBaby,VIBEZ,68,21,14,2020-01-18,3
257,58,Jon Pardi,Heartache Medication,75,58,14,2020-01-18,3
258,59,The Weeknd,Blinding Lights,72,11,5,2020-01-18,3
259,60,Sam Hunt,Kinfolks,80,60,12,2020-01-18,3
260,61,Thomas Rhett,Remember You Young,82,53,16,2020-01-18,3
261,62,Rod Wave,Heart On Ice,70,54,8,2020-01-18,3
262,63,Post Malone Featuring Ozzy Osbourne & Travis Scott,Take What You Want,77,8,17,2020-01-18,3
263,64,Kane Brown,Homesick,88,64,7,2020-01-18,3
264,65,NLE Choppa,Camelot,74,37,16,2020-01-18,3
265,66,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),86,66,6,2020-01-18,3
"266,67,""Layton Greene, Lil Baby, City Girls & PnB Rock"",Leave Em Alone,78,60,13,2020-01-18,3"
267,68,Roddy Ricch & Gunna,Start Wit Me,76,58,7,2020-01-18,3
"268,69,""JACKBOYS, Pop Smoke & Travis Scott"",GATTI,0,69,1,2020-01-18,3"
269,70,Roddy Ricch Featuring Mustard,High Fashion,0,70,1,2020-01-18,3
270,71,DaBaby Featuring Lil Baby & Moneybagg Yo,TOES,0,28,5,2020-01-18,3
271,72,Ed Sheeran Featuring Camila Cabello & Cardi B,South Of The Border,100,53,4,2020-01-18,3
272,73,H.E.R. Featuring YG,Slide,85,73,2,2020-01-18,3
273,74,Gabby Barrett Featuring Charlie Puth,I Hope,0,74,1,2020-01-18,3
274,75,Niall Horan,Nice To Meet Ya,93,63,12,2020-01-18,3
275,76,Karol G & Nicki Minaj,Tusa,98,76,5,2020-01-18,3
276,77,Jason Aldean,We Back,0,77,5,2020-01-18,3
277,78,YNW Melly & 9lokknine,223's,84,34,17,2020-01-18,3
278,79,DaniLeigh Featuring Chris Brown,Easy,90,79,9,2020-01-18,3
279,80,Joji,Slow Dancing In The Dark,89,69,13,2020-01-18,3
280,81,Russ & BIA,BEST ON EARTH,97,81,4,2020-01-18,3
281,82,Harry Styles,Watermelon Sugar,87,54,6,2020-01-18,3
282,83,Bad Bunny,Vete,91,33,6,2020-01-18,3
283,84,Jimmie Allen,Make Me Want To,0,84,1,2020-01-18,3
284,85,Post Malone Featuring DaBaby,Enemies,99,16,17,2020-01-18,3
285,86,Luke Bryan,What She Wants Tonight,0,86,2,2020-01-18,3
286,87,Kelsea Ballerini,homecoming queen?,0,82,4,2020-01-18,3
287,88,Ingrid Andress,More Hearts Than Mine,0,88,1,2020-01-18,3
288,89,Roddy Ricch Featuring A Boogie Wit da Hoodie,Tip Toe,95,73,5,2020-01-18,3
289,90,Riley Green,I Wish Grandpas Never Died,0,90,1,2020-01-18,3
290,91,Trippie Redd Featuring DaBaby,Death,83,59,7,2020-01-18,3
291,92,Ant Saunders,Yellow Hearts,94,81,8,2020-01-18,3
292,93,Tory Lanez & T-Pain,Jerry Sprunger,0,44,5,2020-01-18,3
293,94,Juice WRLD,Let Me Know (I Wonder Why Freestyle),81,78,3,2020-01-18,3
"294,95,""DJ Snake, J. Balvin & Tyga"",Loco Contigo,0,95,2,2020-01-18,3"
295,96,Doja Cat,Candy,96,86,6,2020-01-18,3
296,97,Diplo Presents Thomas Wesley Featuring Morgan Wallen,Heartless,0,78,4,2020-01-18,3
"297,98,""Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin"",China,0,43,18,2020-01-18,3"
298,99,Jordan Davis,Slow Dance In A Parking Lot,0,99,1,2020-01-18,3
299,100,Noah Cyrus & Leon Bridges,July,0,100,1,2020-01-18,3
300,1,Roddy Ricch,The Box,3,1,5,2020-01-25,4
301,2,Justin Bieber,Yummy,0,2,1,2020-01-25,4
302,3,Post Malone,Circles,1,1,19,2020-01-25,4
303,4,Maroon 5,Memories,2,2,16,2020-01-25,4
"304,5,Dan + Shay & Justin Bieber,""10,000 Hours"",9,4,14,2020-01-25,4"
305,6,Lewis Capaldi,Someone You Loved,4,1,35,2020-01-25,4
306,7,Tones And I,Dance Monkey,7,7,14,2020-01-25,4
307,8,Lizzo,Good As Hell,6,3,20,2020-01-25,4
308,9,Arizona Zervas,Roxanne,5,4,10,2020-01-25,4
309,10,Selena Gomez,Lose You To Love Me,10,1,12,2020-01-25,4
310,11,Mustard & Roddy Ricch,Ballin',12,11,25,2020-01-25,4
311,12,DaBaby,BOP,13,11,15,2020-01-25,4
312,13,Travis Scott,HIGHEST IN THE ROOM,8,1,14,2020-01-25,4
313,14,Dua Lipa,Don't Start Now,21,14,10,2020-01-25,4
314,15,Chris Brown Featuring Drake,No Guidance,16,5,31,2020-01-25,4
315,16,SHAED,Trampoline,19,13,32,2020-01-25,4
316,17,The Weeknd,Heartless,20,1,7,2020-01-25,4
317,18,Shawn Mendes & Camila Cabello,Senorita,11,1,29,2020-01-25,4
318,19,Billie Eilish,Everything I Wanted,23,8,9,2020-01-25,4
319,20,Lizzo,Truth Hurts,18,1,36,2020-01-25,4
320,21,Young Thug Featuring Gunna,Hot,24,11,21,2020-01-25,4
321,22,Lil Baby,Woah,27,16,9,2020-01-25,4
322,23,Lil Nas X,Panini,17,5,29,2020-01-25,4
323,24,Harry Styles,Adore You,35,24,5,2020-01-25,4
324,25,Jonas Brothers,Only Human,25,18,29,2020-01-25,4
325,26,Maren Morris,The Bones,36,26,16,2020-01-25,4
326,27,Old Dominion,One Man Band,26,20,20,2020-01-25,4
327,28,Juice WRLD & YoungBoy Never Broke Again,Bandit,22,10,14,2020-01-25,4
328,29,blackbear,Hot Girl Bummer,32,29,17,2020-01-25,4
329,30,Lil Uzi Vert,Futsal Shuffle 2020,44,5,4,2020-01-25,4
330,31,Luke Combs,Even Though I'm Leaving,30,11,19,2020-01-25,4
331,32,Ed Sheeran & Justin Bieber,I Don't Care,28,2,32,2020-01-25,4
332,33,Billie Eilish,Bad Guy,14,1,41,2020-01-25,4
333,34,Jonas Brothers,Sucker,29,1,40,2020-01-25,4
334,35,Roddy Ricch Featuring Mustard,High Fashion,70,35,2,2020-01-25,4
335,36,Taylor Swift,Lover,34,10,21,2020-01-25,4
336,37,Wale Featuring Jeremih,On Chill,39,22,22,2020-01-25,4
337,38,Trevor Daniel,Falling,31,31,8,2020-01-25,4
338,39,The Weeknd,Blinding Lights,59,11,6,2020-01-25,4
339,40,Lady Antebellum,What If I Never Get Over You,49,40,20,2020-01-25,4
340,41,YNW Melly & Juice WRLD,Suicidal,41,41,7,2020-01-25,4
341,42,Khalid,Talk,40,3,45,2020-01-25,4
342,43,Halsey,Graveyard,37,34,17,2020-01-25,4
343,44,Camila Cabello Featuring DaBaby,My Oh My,50,44,5,2020-01-25,4
344,45,Ed Sheeran Featuring Khalid,Beautiful People,42,13,26,2020-01-25,4
345,46,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,15,1,45,2020-01-25,4
346,47,Dustin Lynch,Ridin' Roads,51,47,10,2020-01-25,4
347,48,Doja Cat & Tyga,Juicy,45,45,11,2020-01-25,4
348,49,Summer Walker,Playing Games,54,16,19,2020-01-25,4
349,50,DaBaby,Suge,43,7,37,2020-01-25,4
350,51,Jon Pardi,Heartache Medication,58,51,15,2020-01-25,4
351,52,JACKBOYS Featuring Young Thug,Out West,38,38,2,2020-01-25,4
352,53,DaBaby,VIBEZ,57,21,15,2020-01-25,4
353,54,Sam Hunt,Kinfolks,60,54,13,2020-01-25,4
354,55,Chris Brown Featuring Gunna,Heat,53,36,19,2020-01-25,4
355,56,Roddy Ricch & Gunna,Start Wit Me,68,56,8,2020-01-25,4
356,57,Idina Menzel & AURORA,Into The Unknown,55,46,7,2020-01-25,4
357,58,Don Toliver,No Idea,46,43,6,2020-01-25,4
358,59,Rod Wave,Heart On Ice,62,54,9,2020-01-25,4
359,60,MoneyBagg Yo Featuring Lil Baby,U Played,0,60,1,2020-01-25,4
360,61,Ed Sheeran Featuring Camila Cabello & Cardi B,South Of The Border,72,53,5,2020-01-25,4
361,62,DaBaby Featuring Lil Baby & Moneybagg Yo,TOES,71,28,6,2020-01-25,4
362,63,Kane Brown,Homesick,64,63,8,2020-01-25,4
363,64,Thomas Rhett,Remember You Young,61,53,17,2020-01-25,4
364,65,Gabby Barrett Featuring Charlie Puth,I Hope,74,65,2,2020-01-25,4
365,66,Post Malone Featuring Ozzy Osbourne & Travis Scott,Take What You Want,63,8,18,2020-01-25,4
366,67,H.E.R. Featuring YG,Slide,73,67,3,2020-01-25,4
367,68,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),66,66,7,2020-01-25,4
368,69,Russ & BIA,BEST ON EARTH,81,69,5,2020-01-25,4
