Position,Track Name,Artist,Streams,URL,date,week
8,ROCKSTAR (feat. Roddy Ricch),DaBaby,23199458,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,2020-09-17,38
"9,Lemonade (feat. Gunna;; Don Toliver & NAV),Internet Money,22618350,https://open.spotify.com/track/2DQNYMRjisN3KAPj1bEwOI,2020-09-17,38"
10,Laugh Now Cry Later (feat. Lil Durk),Drake,22432951,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI,2020-09-17,38
1,Mood (feat. iann dior),24kGoldn,41500977,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,2020-09-24,39
2,WAP (feat. Megan Thee Stallion),Cardi B,38686319,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,2020-09-24,39
3,Hawai,Maluma,31447631,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp,2020-09-24,39
4,Holy (feat. Chance The Rapper),Justin Bieber,28367431,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy,2020-09-24,39
"5,Lemonade (feat. Gunna;; Don Toliver & NAV),Internet Money,27981415,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX,2020-09-24,39"
6,Dynamite,BTS,27747541,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY,2020-09-24,39
7,Watermelon Sugar,Harry Styles,24284713,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,2020-09-24,39
8,Blinding Lights,The Weeknd,24241936,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,2020-09-24,39
9,Savage Love (Laxed - Siren Beat),Jawsh 685,22546583,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,2020-09-24,39
10,ROCKSTAR (feat. Roddy Ricch),DaBaby,21683041,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,2020-09-24,39
1,Mood (feat. iann dior),24kGoldn,39960744,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,2020-10-01,40
2,WAP (feat. Megan Thee Stallion),Cardi B,34915133,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,2020-10-01,40
"3,Lemonade (feat. Gunna;, Don Toliver & NAV),Internet Money,29828907,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX,2020-10-01,40"
4,Hawai,Maluma,29733434,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp,2020-10-01,40
5,Dynamite,BTS,27835215,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY,2020-10-01,40
6,Holy (feat. Chance The Rapper),Justin Bieber,24282760,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy,2020-10-01,40
7,Blinding Lights,The Weeknd,23475244,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,2020-10-01,40
8,Watermelon Sugar,Harry Styles,23372224,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,2020-10-01,40
9,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,22348585,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S,2020-10-01,40
10,Savage Love (Laxed - Siren Beat),Jawsh 685,20984707,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,2020-10-01,40
1,Mood (feat. iann dior),24kGoldn,37910562,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,2020-10-08,41
2,WAP (feat. Megan Thee Stallion),Cardi B,31393328,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,2020-10-08,41
3,Dynamite,BTS,28359094,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY,2020-10-08,41
"4,Lemonade (feat. Gunna;, Don Toliver & NAV),Internet Money,28351078,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX,2020-10-08,41"
5,Hawai,Maluma,27356602,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp,2020-10-08,41
6,Lovesick Girls,BLACKPINK,26331588,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C,2020-10-08,41
7,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,22837971,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S,2020-10-08,41
8,Blinding Lights,The Weeknd,22792468,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,2020-10-08,41
9,Holy (feat. Chance The Rapper),Justin Bieber,22290608,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy,2020-10-08,41
10,Watermelon Sugar,Harry Styles,21785491,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,2020-10-08,41
1,Mood (feat. iann dior),24kGoldn,36456856,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,2020-10-15,42
"2,Lemonade (feat. Gunna;, Don Toliver & NAV),Internet Money,30094068,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX,2020-10-15,42"
3,WAP (feat. Megan Thee Stallion),Cardi B,28881747,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,2020-10-15,42
4,Hawai,Maluma,26711993,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp,2020-10-15,42
5,Dynamite,BTS,26198982,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY,2020-10-15,42
6,What You Know Bout Love,Pop Smoke,23128718,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y,2020-10-15,42
7,Blinding Lights,The Weeknd,22747626,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,2020-10-15,42
8,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,22340991,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S,2020-10-15,42
9,Watermelon Sugar,Harry Styles,20927094,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,2020-10-15,42
10,Holy (feat. Chance The Rapper),Justin Bieber,20896497,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy,2020-10-15,42
1,Mood (feat. iann dior),24kGoldn,35709174,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,2020-10-22,43
"2,Lemonade (feat. Gunna;, Don Toliver & NAV),Internet Money,30463204,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX,2020-10-22,43"
3,WAP (feat. Megan Thee Stallion),Cardi B,26814366,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,2020-10-22,43
4,Dynamite,BTS,25807515,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY,2020-10-22,43
5,Hawai,Maluma,25293611,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp,2020-10-22,43
6,What You Know Bout Love,Pop Smoke,23831081,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y,2020-10-22,43
7,Blinding Lights,The Weeknd,22102181,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,2020-10-22,43
8,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,22098488,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S,2020-10-22,43
9,Holy (feat. Chance The Rapper),Justin Bieber,22005534,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy,2020-10-22,43
10,Watermelon Sugar,Harry Styles,20396240,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,2020-10-22,43
1,positions,Ariana Grande,41862937,https://open.spotify.com/track/7igeByaBM0MgGsgXtNxDJ7,2020-10-29,44
2,Mood (feat. iann dior),24kGoldn,35772467,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,2020-10-29,44
"3,Lemonade (feat. Gunna;, Don Toliver & NAV),Internet Money,29922386,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX,2020-10-29,44"
4,Dynamite,BTS,25034516,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY,2020-10-29,44
5,WAP (feat. Megan Thee Stallion),Cardi B,24964388,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,2020-10-29,44
6,What You Know Bout Love,Pop Smoke,24810100,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y,2020-10-29,44
7,Hawai,Maluma,23451534,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp,2020-10-29,44
8,Blinding Lights,The Weeknd,22484168,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,2020-10-29,44
9,Holy (feat. Chance The Rapper),Justin Bieber,21336275,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy,2020-10-29,44
10,Lonely (with benny blanco),Justin Bieber,21141960,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q,2020-10-29,44
1,positions,Ariana Grande,41067766,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,2020-11-05,45
2,DAKITI,Bad Bunny,36489203,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS,2020-11-05,45
3,Mood (feat. iann dior),24kGoldn,34016574,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,2020-11-05,45
"4,Lemonade (feat. Gunna;, Don Toliver & NAV),Internet Money,28685476,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX,2020-11-05,45"
5,34+35,Ariana Grande,26153463,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF,2020-11-05,45
6,What You Know Bout Love,Pop Smoke,23370098,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y,2020-11-05,45
7,Dynamite,BTS,23324757,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY,2020-11-05,45
8,Lonely (with benny blanco),Justin Bieber,22702806,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q,2020-11-05,45
9,Hawai,Maluma,22160052,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp,2020-11-05,45
10,WAP (feat. Megan Thee Stallion),Cardi B,22120658,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,2020-11-05,45
1,DAKITI,Bad Bunny,53029262,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS,2020-11-12,46
2,positions,Ariana Grande,34058841,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,2020-11-12,46
3,Mood (feat. iann dior),24kGoldn,29490770,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,2020-11-12,46
"4,Lemonade (feat. Gunna;, Don Toliver & NAV),Internet Money,28010531,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX,2020-11-12,46"
5,Lonely (with benny blanco),Justin Bieber,23824437,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q,2020-11-12,46
6,What You Know Bout Love,Pop Smoke,23094943,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y,2020-11-12,46
7,Dynamite,BTS,22201247,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY,2020-11-12,46
8,WAP (feat. Megan Thee Stallion),Cardi B,20733695,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,2020-11-12,46
9,Hawai,Maluma,20669832,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp,2020-11-12,46
10,Blinding Lights,The Weeknd,20236786,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,2020-11-12,46
1,DAKITI,Bad Bunny,50727034,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS,2020-11-19,47
2,Therefore I Am,Billie Eilish,35380663,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha,2020-11-19,47
3,positions,Ariana Grande,33470958,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,2020-11-19,47
4,Mood (feat. iann dior),24kGoldn,30989530,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,2020-11-19,47
"5,Lemonade (feat. Gunna;, Don Toliver & NAV),Internet Money,25874945,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX,2020-11-19,47"
6,Lonely (with benny blanco),Justin Bieber,21896711,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q,2020-11-19,47
7,Dynamite,BTS,21715255,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY,2020-11-19,47
8,What You Know Bout Love,Pop Smoke,21674877,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y,2020-11-19,47
9,Blinding Lights,The Weeknd,19832063,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,2020-11-19,47
10,WAP (feat. Megan Thee Stallion),Cardi B,19108498,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,2020-11-19,47
1,DAKITI,Bad Bunny,47686643,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS,2020-11-26,48
2,Dynamite,BTS,33452450,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc,2020-11-26,48
3,positions,Ariana Grande,32475331,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,2020-11-26,48
4,Life Goes On,BTS,32174731,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD,2020-11-26,48
5,Therefore I Am,Billie Eilish,30419033,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha,2020-11-26,48
6,Mood (feat. iann dior),24kGoldn,29814124,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,2020-11-26,48
7,Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,28903220,https://open.spotify.com/track/2Z8yfpFX0ZMavHkcIeHiO1,2020-11-26,48
"8,Lemonade (feat. Gunna;, Don Toliver & NAV),Internet Money,24816100,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX,2020-11-26,48"
9,BICHOTA,KAROL G,21577655,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1,2020-11-26,48
10,Lonely (with benny blanco),Justin Bieber,21386423,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q,2020-11-26,48
1,DAKITI,Bad Bunny,53344093,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49,2020-12-03,49
2,LA NOCHE DE ANOCHE,Bad Bunny,30110474,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck,2020-12-03,49
3,positions,Ariana Grande,29088183,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,2020-12-03,49
4,All I Want for Christmas Is You,Mariah Carey,28851001,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,2020-12-03,49
5,Mood (feat. iann dior),24kGoldn,27214554,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,2020-12-03,49
6,Dynamite,BTS,24688584,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc,2020-12-03,49
7,Blinding Lights,The Weeknd,24637131,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,2020-12-03,49
8,Therefore I Am,Billie Eilish,24602518,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha,2020-12-03,49
9,Last Christmas,Wham!,24561977,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,2020-12-03,49
10,BICHOTA,KAROL G,23051450,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1,2020-12-03,49
1,DAKITI,Bad Bunny,42521776,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49,2020-12-10,50
2,All I Want for Christmas Is You,Mariah Carey,33463486,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,2020-12-10,50
3,Last Christmas,Wham!,28540616,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,2020-12-10,50
4,positions,Ariana Grande,27117910,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,2020-12-10,50
5,Mood (feat. iann dior),24kGoldn,25959759,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,2020-12-10,50
6,Blinding Lights,The Weeknd,25085148,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,2020-12-10,50
7,Santa Tell Me,Ariana Grande,23873167,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb,2020-12-10,50
8,BICHOTA,KAROL G,23787475,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1,2020-12-10,50
9,LA NOCHE DE ANOCHE,Bad Bunny,23555955,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck,2020-12-10,50
10,It's Beginning to Look a Lot like Christmas,Michael Buble,22257026,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI,2020-12-10,50
1,DAKITI,Bad Bunny,38564049,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49,2020-12-17,51
2,All I Want for Christmas Is You,Mariah Carey,32556355,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,2020-12-17,51
3,willow,Taylor Swift,32004718,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D,2020-12-17,51
4,Last Christmas,Wham!,28682836,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,2020-12-17,51
5,positions,Ariana Grande,25258769,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,2020-12-17,51
6,Mood (feat. iann dior),24kGoldn,25021570,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,2020-12-17,51
7,BICHOTA,KAROL G,24006064,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1,2020-12-17,51
8,Santa Tell Me,Ariana Grande,23649501,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb,2020-12-17,51
9,Rockin' Around The Christmas Tree,Brenda Lee,22518877,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97,2020-12-17,51
10,champagne problems,Taylor Swift,22508341,https://open.spotify.com/track/0sY6ZUTh4yoctD8VIXz339,2020-12-17,51
1,All I Want for Christmas Is You,Mariah Carey,53401383,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,2020-12-24,52
2,Last Christmas,Wham!,48011162,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,2020-12-24,52
3,Santa Tell Me,Ariana Grande,38503261,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb,2020-12-24,52
4,DAKITI,Bad Bunny,38006961,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49,2020-12-24,52
5,Rockin' Around The Christmas Tree,Brenda Lee,37323134,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97,2020-12-24,52
6,It's Beginning to Look a Lot like Christmas,Michael Buble,36227377,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI,2020-12-24,52
7,Jingle Bell Rock,Bobby Helms,36117097,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya,2020-12-24,52
8,It's the Most Wonderful Time of the Year,Andy Williams,32218073,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A,2020-12-24,52
9,Underneath the Tree,Kelly Clarkson,28983124,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5,2020-12-24,52
10,BICHOTA,KAROL G,25315138,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1,2020-12-24,52
1,DAKITI,Bad Bunny,34261917,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49,2020-12-31,53
2,Mood (feat. iann dior),24kGoldn,23970546,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,2020-12-31,53
3,BICHOTA,KAROL G,23283597,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1,2020-12-31,53
4,All I Want for Christmas Is You,Mariah Carey,23235257,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,2020-12-31,53
5,Blinding Lights,The Weeknd,23154785,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,2020-12-31,53
6,positions,Ariana Grande,22629235,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,2020-12-31,53
7,Last Christmas,Wham!,20709328,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,2020-12-31,53
8,34+35,Ariana Grande,19582545,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF,2020-12-31,53
9,Dynamite,BTS,18322537,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc,2020-12-31,53
10,LA NOCHE DE ANOCHE,Bad Bunny,18261133,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck,2020-12-31,53
